file_name,deployment,location,pollutant,timezone,start,end,header_type,,,,,,,,,,,,,,,,,,,,,,,,,
C17_harmonization_081424,H,,,PDT,8/14/2024 13:00,8/23/2024 12:00,3.1.2,,,,,,,,,,,,,,,,,,,,,,,,,
C22_harmonization_081424,H,,,PDT,8/14/2024 13:00,8/23/2024 12:00,3.1.2,,,,,,,,,,,,,,,,,,,,,,,,,
C20_harmonization_081424,H,,,PDT,8/14/2024 13:00,8/23/2024 12:00,3.1.2,,,,,,,,,,,,,,,,,,,,,,,,,
C24_harmonization_081424,H,,,PDT,8/14/2024 13:00,8/23/2024 12:00,3.1.2,,,,,,,,,,,,,,,,,,,,,,,,,
C27_harmonization_081424,H,,,PDT,8/14/2024 13:00,8/23/2024 12:00,3.1.2,,,,,,,,,,,,,,,,,,,,,,,,,
C28_harmonization_081424,H,,,PDT,8/14/2024 13:00,8/23/2024 12:00,3.1.2,,,,,,,,,,,,,,,,,,,,,,,,,
C29_harmonization_081424,H,,,PDT,8/14/2024 13:00,8/23/2024 12:00,3.1.2,,,,,,,,,,,,,,,,,,,,,,,,,
C30_harmonization_081424,H,,,PDT,8/14/2024 13:00,8/23/2024 12:00,3.1.2,,,,,,,,,,,,,,,,,,,,,,,,,
C2_042924_060524,F,F1,,PDT,4/29/2024 23:59,6/5/2024 15:00,3.1.0,,,,More than 500m,,,,,,,,,,,,,,,,,,,,,
C13_040324_060524,F,F4,,PDT,4/3/2024 15:00,6/5/2024 15:00,3.1.0,,,,More than 500m,,,,,,,,,,,,,,,,,,,,,
C17_051524_060224,F,W,,PDT,5/15/2024 0:00,6/5/2024 15:00,3.1.0,,,,Wilmington,,,,,,,,,,,,,,,,,,,,,
C20_040324_060524,F,C4,,PDT,4/3/2024 15:00,6/5/2024 15:00,3.1.0,,,,Less than 500 m,,,,,,,,,,,,,,,,,,,,,
C22_040324_060524,F,I,,PDT,4/3/2024 15:00,6/5/2024 15:00,3.1.0,,,,Idle well,,,,,,,,,,,,,,,,,,,,,
C1_040324_051024,F,C1,,PDT,4/3/2024 15:00,6/5/2024 15:00,3.1.0,,,,Less than 500 m,,,,,,,,,,,,,,,,,,,,Far,Holman
C3_040324_060524,F,D,,PDT,4/3/2024 15:00,6/5/2024 15:00,3.1.0,,,,Deconstructed well,,,,,,,,,,,,,,,,,,,,Far,Corissa
C5_040324_060524,F,C2,,PDT,4/3/2024 15:00,6/5/2024 15:00,3.1.0,,,,Less than 500 m,,,,,,,,,,,,,,,,,,,,Close,Mendez
C6_040324_060524,F,F2,,PDT,4/3/2024 15:00,6/5/2024 15:00,3.1.0,,,,More than 500m,,,,,,,,,,,,,,,,,,,,Far,Holman
C9_040324_060524,F,F3,,PDT,4/3/2024 15:00,6/5/2024 15:00,3.1.0,,,,More than 500m,,,,,,,,,,,,,,,,,,,,hmm,STEM
C10_040324_060524,F,C3,,PST,4/3/2024 15:00,6/5/2024 15:00,3.1.2,,,,Less than 500 m,,,,,,,,,,,,,,,,,,,,Close,Mendez
C24_071924_081324,C,,notVOC,PDT,7/19/2024 0:00,8/13/2024 0:00,3.1.2,,,,,,,,,,,,,,,,,,,,,,,,Close,Clark Library
C2_101023_121323,F,F1,,PDT,10/11/2023 1:00,12/13/2023 23:59,3.1.0,,,,More than 500m,,,,,,,,,,,,,,,,,,,,,
C4_101023_121323,F,O,,PDT,10/11/2023 1:00,12/13/2023 23:59,3.1.0,,,,Outlier home,,,,,,,,,,,,,,,,,,,,,
C11_101023_121323,F,C4,,PDT,10/11/2023 1:00,12/13/2023 23:59,3.1.0,,,,Less than 500 m,,,,,,,,,,,,,,,,,,,,,
C2_121323_122024,F,F1,,PDT,12/13/2023 1:00,12/20/2024 23:59,3.1.0,,,,More than 500m,,,,,,,,,,,,,,,,,,,,,
C13_121323_122024,F,F4,,PDT,12/13/2023 1:00,12/20/2023 23:59,3.1.0,,,,More than 500m,,,,,,,,,,,,,,,,,,,,,
C11_121323_020624,F,C4,,PDT,12/13/2023 1:00,2/6/2024 23:59,3.1.0,,,,Less than 500 m,,,,,,,,,,,,,,,,,,,,,
C10_121323_122124,F,C3,,PDT,12/13/2023 1:00,12/21/2023 23:59,3.1.0,,,,Less than 500 m,,,,,,,,,,,,,,,,,,,,,
C1_121323_031824,F,C1,,PDT,12/13/2023 1:00,3/18/2024 23:59,3.1.0,,Close,Daire,Less than 500 m,,,,,,,,,,,,,,,,,,,,,
C6_101023_121523,F,F2,,PDT,10/11/2023 1:00,12/15/2023 23:59,3.1.0,,Far,Leah,More than 500m,,,,,,,,,,,,,,,,,,,,,
C9_101023_121523,F,F3,,PDT,10/11/2023 1:00,12/15/2023 23:59,3.1.0,,Medium,Amy,More than 500m,,,,,,,,,,,,,,,,,,,,,
C20_101023_121323,F,C4,,PDT,10/11/2023 1:00,12/13/2023 23:59,3.1.0,,Close,Emberly,Less than 500 m,,,,,,,,,,,,,,,,,,,,,
C1_101023_121323,F,C1,,PDT,10/11/2023 1:00,12/13/2023 23:59,3.1.0,,Close,Daire,Less than 500 m,,,,,,,,,,,,,,,,,,,,,
C5_101023_121323,F,C2,,PDT,10/11/2023 1:00,12/13/2023 23:59,3.1.0,,Medium,Silvia,Less than 500 m,,,,,,,,,,,,,,,,,,,,,
C14_101023_121123,F,R,,PDT,10/11/2023 1:00,12/20/2023 23:59,3.1.0,,Road,Road,Roadside,,,,,,,,,,,,,,,,,,,,,
C3_101223_111023,F,D,,PDT,10/12/2023 1:00,11/10/2023 23:59,3.1.0,,Lillian,Lillian,Deconstructed well,,,,,,,,,,,,,,,,,,,,,
C22_101023_121523,F,I,,PDT,10/12/2023 1:00,12/15/2023 23:59,3.1.0,,Esperanza,Esperanza,Idle well,,,,,,,,,,,,,,,,,,,,,
C9_121523_020324,F,F3,,PDT,12/15/2023 1:00,3/18/2024 23:59,3.1.0,,Medium,Amy,More than 500m,,,,,,,,,,,,,,,,,,,,,
C6_121523_031824,F,F2,,PDT,12/15/2023 1:00,3/18/2024 23:59,3.1.0,,hmm,Leah,More than 500m,,,,,,,,,,,,,,,,,,,,,
C4_121323_031824,F,O,,PDT,12/13/2023 1:00,3/18/2024 23:59,3.1.0,,Far,Corissa,Outlier home,,,,,,,,,,,,,,,,,,,,,
C3_120123_031824,F,D,,PDT,12/1/2023 1:00,3/18/2024 23:59,3.1.0,,Lillian,Lillian,Deconstructed well,,,,,,,,,,,,,,,,,,,,,
C22_121523_031824,F,I,,PDT,12/15/2023 1:00,3/18/2024 23:59,3.1.0,,Esperanza,Esperanza,Idle well,,,,,,,,,,,,,,,,,,,,,
C20_121123_012624,F,C4,,PDT,12/11/2023 1:00,1/26/2024 23:59,3.1.0,,Close,Emberly,Less than 500 m,,,,,,,,,,,,,,,,,,,,,
